Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,ethnicity,Asian or Asian British,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,24.8,23.7,26.8,18.1,5.7,2.9,0.0,0.0,0.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,ethnicity,Black or Black British,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,7.1,49.9,16.0,25.3,0.0,13.4,0.0,0.0,0.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,ethnicity,Other ethnic group,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,0.0,49.7,0.0,6.1,42.1,0.0,0.0,0.0,0.0,2.1,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,ethnicity,Mixed or multiple ethnic groups,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,14.8,31.6,0.0,30.5,15.4,0.0,0.0,0.0,0.0,3.2,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,I did not vote,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,41.1,15.4,11.3,17.0,7.9,2.5,0.5,0.7,0.4,4.7,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Labour,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,13.5,54.5,4.9,15.3,9.3,11.5,0.2,0.7,0.2,0.5,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Conservative,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,27.7,0.8,65.8,2.1,2.6,9.0,0.0,0.0,0.8,0.3,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Reform UK,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,83.9,1.8,3.4,1.2,2.9,0.0,0.0,0.0,0.9,5.1,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Liberal Democrats,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,8.8,5.6,1.8,6.2,76.7,0.0,0.0,0.0,0.7,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Green Party,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,5.0,2.8,0.0,83.8,4.1,0.0,0.0,0.0,0.0,3.4,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Scottish National Party (SNP),Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,4.1,0.0,0.0,3.9,0.0,0.0,91.9,0.0,0.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Plaid Cymru,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,19.5,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,An independent candidate or other party,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,73.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,I voted but can't remember who for,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,0.0,73.8,0.0,0.0,0.0,17.8,0.0,0.0,0.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,Prefer not to say,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,34.8,0.0,0.0,42.3,14.6,0.0,0.0,0.0,0.0,8.2,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,I was too young to vote (under 18 in July 2024),Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,45.9,12.6,18.2,23.4,0.0,0.0,0.0,0.0,0.0,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
