Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,current_vote,Conservative,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,UKIP,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,Green,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,The Brexit Party,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,Some other party,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,27.0,49.7,8.7,,6.1,0.5,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,80.6,10.3,1.4,1.3,1.7,1.5,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,95.9,2.1,0.8,,1.1,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Leavers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,97.6,0.5,,0.8,,1.2,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,5.0,85.3,1.8,,4.7,0.5,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Leavers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,17.4,77.9,1.3,,3.4,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Lib Dem Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,14.5,32.6,43.0,,9.1,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,gender,Male,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,56.8,27.5,6.7,0.6,2.7,1.8,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,gender,Female,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,52.8,30.2,4.2,0.9,4.6,0.3,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,age,18-34,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,31.7,45.0,10.0,1.1,6.3,1.5,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,age,35-44,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,43.3,37.4,3.4,,7.3,2.3,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,age,45-54,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,58.2,32.4,1.5,0.3,2.2,0.5,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,age,55-64,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,60.9,20.1,6.7,1.0,2.6,1.3,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,age,65+,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,67.0,18.5,5.6,1.0,2.1,0.5,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,North,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,52.2,38.2,5.3,0.8,2.9,0.6,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,Midlands,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,63.5,25.0,5.7,0.2,3.6,2.1,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,London,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,44.6,41.9,8.5,,4.2,0.8,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,South,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,64.7,22.6,5.9,1.2,4.1,1.4,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,Wales,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,57.0,27.7,4.0,0.9,4.1,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,Scotland,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,27.2,14.7,0.8,0.9,3.2,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,region,Northern Ireland,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,Some other party,,,,,,,,,,,,,,,VI-07-04-20.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,"Q:V002. If there were a general election tomorrow, how likely would you be to vote?  Please answer using the scale below where 0 is ""definitely WON'T vote"", 5 is ""might vote, might not"" and 10 is ""definitely WILL vote"".",0 - definitely WON'T vote,2,3,"5 - might vote, might not vote",6,7,8,9,10 - definitely WILL vote,,,0.3,,2.3,0.3,2.2,3.8,7.2,82.5,,VI-07-04-20.xlsx,V002
