Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,region,Scotland,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,90.0,10.0,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,region,Northern Ireland,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,89.5,10.5,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,Conservative,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,12.6,76.5,10.8,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,current_vote,Labour,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,9.0,10.8,80.2,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,current_vote,Liberal Democrat,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,13.2,26.5,60.3,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,current_vote,SNP,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,17.0,12.5,70.4,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,current_vote,Plaid Cymru,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,18.1,15.9,66.0,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,current_vote,Green,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,12.3,13.1,74.6,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,current_vote,Other,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,13.5,14.2,72.2,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,historic_vote,Remain,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,11.4,20.2,68.4,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,historic_vote,Leave,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,14.0,45.1,40.9,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,age,18-34,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,30.7,24.6,44.7,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
,,,,,,,age,35-44,"To what extent do you approve or disapprove of …
 The way Boris Johnson is handling his job as Prime Minister",Neither Approve nor Disapprove,TOTAL APPROVE,TOTAL DISAPPROVE,,,,,,,,24.9,32.9,42.2,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V006_
