Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,age,45-54,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,23.6,38.9,7.1,14.9,4.7,5.8,3.4,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,age,55-64,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,32.1,27.9,11.9,9.4,3.1,4.5,8.4,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,age,65+,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,41.2,18.1,8.8,16.0,1.5,4.3,9.1,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,North,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,25.0,49.5,6.6,12.1,1.2,,5.6,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,Midands,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,30.3,39.1,9.2,14.1,2.7,,4.6,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,London,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,28.3,48.9,8.0,9.7,2.0,,3.1,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,South,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,35.5,26.6,9.8,14.2,5.2,,8.8,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,Wales,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,33.0,22.1,10.8,7.6,7.2,,3.9,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,Scotland,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,16.3,19.4,4.4,2.7,4.6,51.4,1.1,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,region,Northern Ireland,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,class,ABC1,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,34.9,29.5,10.4,8.8,3.5,6.2,4.9,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,class,C2DE,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,21.9,43.3,5.5,14.8,3.6,4.4,6.4,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,total,Total,"Q:VI_all_parties. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Green,Scottish National Party (SNP),Some other party,,,,22.9,25.9,7.3,8.5,3.0,3.2,4.1,,,,VI-09-04-2019-Tables.xlsx,VI_all_parties
,,,,,,,current_vote,Conservative,"Q:VI_all_parties. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Green,Scottish National Party (SNP),Some other party,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VI_all_parties
,,,,,,,current_vote,Labour,"Q:VI_all_parties. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Green,Scottish National Party (SNP),Some other party,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VI_all_parties
,,,,,,,current_vote,Liberal Democrat,"Q:VI_all_parties. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Green,Scottish National Party (SNP),Some other party,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VI_all_parties
